"states","X","Y"
Andhra Pradesh,-97.0 ,-168.0
Arunachal Pradesh,257.0 ,188.0
Assam,227.0, 128.0
Bihar,64.0, 110.0
Chhattisgarh,-26.0, -10.0
Goa,-208.0, -153.0
Gujarat,-266.0, 30.0
Haryana,-145.0 ,192.0
Himachal Pradesh,-122.0, 264.0
Jharkhand,57.0 ,54.0
Karnataka,-169.0 ,-179.0
Kerala,-157.0, -280.0
Madhya Pradesh,-113.0, 47.0
Maharashtra,-176.0 ,-48.0
Manipur,255.0, 92.0
Meghalaya,198.0, 109.0
Mizoram,237.0 ,51.0
Nagaland,271.0, 129.0
Odisha,55.0, -23.0
Punjab,-165.0,235.0
Rajasthan,-207.0 ,135.0
Sikkim,129.0 ,148.0
Tamil Nadu,-101.0, -269.0
Telangana,-88.0 ,-92.0
Tripura,204.0, 65.0
Uttar Pradesh,-52.0, 135.0
Uttarakhand,-73.0 ,217.0
West Bengal,119.0 ,44.0
